Ingredient,Effects
 QUININE HYDROCHLORIDE, FLAVORING AGENT OR ADJUVANT
 QUININE SULFATE, FLAVORING AGENT OR ADJUVANT
 QUINOLINE--NLFG, FLAVORING AGENT OR ADJUVANT
" RAPESEED OIL, HYDROGENATED"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
" RAPESEED OIL, HYDROGENATED, SUPERGLYCERINATED"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
" RAPESEED OIL, LOW ERUCIC ACID"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
 REBAUDIOSIDE C, FLAVORING AGENT OR ADJUVANT
 REBAUDIOSIDE A, FLAVORING AGENT OR ADJUVANT
 RENNET," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LUBRICANT OR RELEASE AGENT, MALTING OR FERMENTING AID, PROCESSING AID, STABILIZER OR THICKENER, TEXTURIZER"
" RESIN, FROM FORMALDEHYDE, ACETONE, AND TETRAETHYLENEPENTAMINE", PROCESSING AID
 RESORCINOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 L-RHAMNOSE, FLAVORING AGENT OR ADJUVANT
" RHATANY, EXTRACT (KRAMERIA SPP.)", FLAVORING AGENT OR ADJUVANT
 RHODINOL," ANTIOXIDANT, FLAVORING AGENT OR ADJUVANT"
 RHODINYL ACETATE, FLAVORING AGENT OR ADJUVANT
 RHODINYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 RHODINYL FORMATE, FLAVORING AGENT OR ADJUVANT
 RHODINYL ISOBUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 RHODINYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 RHODINYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 RHODINYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
" RHUBARB, GARDEN ROOT (RHEUM RHAPONTICUM L.)", FLAVORING AGENT OR ADJUVANT
 RHUBARB ROOT (RHEUM SPP.), FLAVORING AGENT OR ADJUVANT
 RIBOFLAVIN," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 RIBOFLAVIN 5'-PHOSPHATE, NUTRIENT SUPPLEMENT
" RIBOFLAVIN 5'-PHOSPHATE, SODIUM", NUTRIENT SUPPLEMENT
 D-RIBOSE, FLAVORING AGENT OR ADJUVANT
 RICE BRAN WAX," LUBRICANT OR RELEASE AGENT, MASTICATORY SUBSTANCE"
" RICE, MILLED"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER, TEXTURIZER"
 RICE STARCH, STABILIZER OR THICKENER
 (R)-(-)-1-OCTEN-3-OL, FLAVORING AGENT OR ADJUVANT
" ROSE, ABSOLUTE (ROSA SPP.)", FLAVORING AGENT OR ADJUVANT
" ROSE, BUD (ROSA SPP.)", FLAVORING AGENT OR ADJUVANT
 ROSE FLOWERS (ROSA SPP.), FLAVORING AGENT OR ADJUVANT
" ROSE HIPS, EXTRACT (ROSA SPP.)"," FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 ROSE LEAVES (ROSA SPP.), FLAVORING AGENT OR ADJUVANT
 ROSELLE (HIBISCUS SABDARIFFA L.), FLAVORING AGENT OR ADJUVANT
" ROSEMARY, EXTRACT (ROSMARINUS OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
" ROSEMARY, OIL (ROSEMARINUS OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
" ROSEMARY, OLEORESIN", FLAVORING AGENT OR ADJUVANT
 ROSEMARY (ROSEMARINUS OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
" ROSE, OIL (ROSA SPP.)", FLAVORING AGENT OR ADJUVANT
" ROSE WATER, STRONGER (ROSA CENTIFOLIA L.)", FLAVORING AGENT OR ADJUVANT
 ROSIDINHA (MICROPHOLIS (ALSO KNOWN AS SIDEROXYLON) SPP.), MASTICATORY SUBSTANCE
" ROSIN, ADDUCT WITH FUMARIC ACID, PENTAERYTHRITOL ESTER",Not Available
" ROSIN, GLYCEROL ESTER",Not Available
" ROSIN, GUM, GLYCEROL ESTER"," MASTICATORY SUBSTANCE, SURFACE-FINISHING AGENT"
" ROSIN, GUM OR WOOD, PARTIALLY HYDROGENATED, GLYCEROL ESTER", MASTICATORY SUBSTANCE
" ROSIN, GUM OR WOOD, PARTIALLY HYDROGENATED, PENTAERYTHRITOL ESTER", MASTICATORY SUBSTANCE
" ROSIN, GUM OR WOOD, PENTAERYTHRITOL ESTER", MASTICATORY SUBSTANCE
" ROSIN, LIMED",Not Available
" ROSIN, METHYL ESTER, PARTIALLY HYDROGENATED"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, MASTICATORY SUBSTANCE, PROCESSING AID, SURFACE-FINISHING AGENT"
" ROSIN, PARTIALLY DIMERIZED, CALCIUM SALT", SURFACE-FINISHING AGENT
" ROSIN, PARTIALLY DIMERIZED, GLYCEROL ESTER", MASTICATORY SUBSTANCE
" ROSIN, PARTIALLY HYDROGENATED", SURFACE-FINISHING AGENT
 ROSIN (PINUS SPP.) AND ROSIN DERIVATIVES," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
" ROSIN, POLYMERIZED, GLYCEROL ESTER", MASTICATORY SUBSTANCE
" ROSIN, TALL OIL, GLYCEROL ESTER", MASTICATORY SUBSTANCE
" ROSIN, WOOD", SURFACE-FINISHING AGENT
" ROSIN, WOOD, GLYCEROL ESTER", SURFACE-FINISHING AGENT
" ROSIN, WOOD, MALEIC ANHYD. MOD., PENTAERYTHRITOL ESTER, ACID #134-145", SURFACE-FINISHING AGENT
" ROSIN, WOOD, MALEIC ANHYD. MOD., PENTAERYTHRITOL ESTER, ACID #176-186",Not Available
" (1R,2S,5R)-N-(4-METHOXYPHENYL)-5-METHYL-2-(1-METHYLETHYL)CYCLOHEXANECARBOXAMIDE", FLAVORING AGENT OR ADJUVANT
" RUBBER, NATURAL-SMOKED SHEET AND LATEX SOLIDS (HEVEA BRASILIENSIS)", MASTICATORY SUBSTANCE
" RUE, OIL (RUTA GRAVEOLENS L.)", FLAVORING AGENT OR ADJUVANT
 RUE (RUTA GRAVEOLENS L.), FLAVORING AGENT OR ADJUVANT
 RUM,Not Available
 RUM ETHER, FLAVORING AGENT OR ADJUVANT
 RUTIN,Not Available
" SACCHARIN, AMMONIUM SALT", NON-NUTRITIVE SWEETENER
 SAFFRON (CROCUS SATIVUS L.)," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" SAFFRON, EXTRACT (CROCUS SATIVUS L.)"," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 SAFROLE-FREE EXTRACT OF SASSAFRAS, FLAVORING AGENT OR ADJUVANT
 SAFROLE--PROHIBITED, FLAVORING AGENT OR ADJUVANT
" SAGE, GREEK (SALVIA TRILOBA L.)", FLAVORING AGENT OR ADJUVANT
" SAGE, OIL (SALVIA OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
" SAGE, OLEORESIN (SALVIA OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
 SAGE (SALVIA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
" SAGE, SPANISH, OIL (SALVIA LAVANDULAEFOLIA VAHL.)", FLAVORING AGENT OR ADJUVANT
 SALICYLALDEHYDE, FLAVORING AGENT OR ADJUVANT
 SALICYLIC ACID, FLAVORING AGENT OR ADJUVANT
 SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
" SANDALWOOD, RED (PTEROCARPUS SANTALINUS L.F.)", FLAVORING AGENT OR ADJUVANT
" SANDALWOOD, WHITE (SANTALUM ALBUM L.)", FLAVORING AGENT OR ADJUVANT
" SANDALWOOD, YELLOW, OIL (SANTALUM ALBUM L.)", FLAVORING AGENT OR ADJUVANT
 SANDARAC (TETRACLINIS ARTICULATA (VAHL.) MAST.), FLAVORING AGENT OR ADJUVANT
" SANTALOL, BETA", FLAVORING AGENT OR ADJUVANT
" SANTALOL, ALPHA", FLAVORING AGENT OR ADJUVANT
 SANTALOL (ALPHA AND BETA), FLAVORING AGENT OR ADJUVANT
 SANTALYL ACETATE, FLAVORING AGENT OR ADJUVANT
 SANTALYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 SARCODACTYLIS OIL, FLAVORING AGENT OR ADJUVANT
" SARSAPARILLA, EXTRACT (SMILAX SPP.)", FLAVORING AGENT OR ADJUVANT
" SASSAFRAS BARK, EXTRACT (SAFROLE-FREE) (SASSAFRAS ALBIDUM (NUTT.) NEES)", FLAVORING AGENT OR ADJUVANT
 SASSAFRAS LEAVES (SAFROLE-FREE) (SASSAFRAS ALBIDUM (NUTT.) NEES), FLAVORING AGENT OR ADJUVANT
 SAUSAGE CASING (HCL AND CELLULOSE FIBERS)," FORMULATION AID, TEXTURIZER"
" SAVORY, SUMMER, OIL (SATUREJA HORTENSIS L.)", FLAVORING AGENT OR ADJUVANT
" SAVORY, SUMMER, OLEORESIN (SATUREJA HORTENSIS L.)", FLAVORING AGENT OR ADJUVANT
" SAVORY, SUMMER (SATUREJA HORTENSIS L.)", FLAVORING AGENT OR ADJUVANT
" SAVORY, WINTER, OIL (SATUREJA MONTANA L.)", FLAVORING AGENT OR ADJUVANT
" SAVORY, WINTER, OLEORESIN (SATUREJA MONTANA L.)", FLAVORING AGENT OR ADJUVANT
" SAVORY, WINTER (SATUREJA MONTANA L.)", FLAVORING AGENT OR ADJUVANT
" SCHINUS MOLLE, OIL (SCHINUS MOLLE L.)", FLAVORING AGENT OR ADJUVANT
 (-)-SCLAREOL, FLAVORING AGENT OR ADJUVANT
 SCLAREOLIDE, FLAVORING AGENT OR ADJUVANT
" SCOTCH SPEARMINT OIL, MENTHA CARDIACA L.", FLAVORING AGENT OR ADJUVANT
 2-SEC-BUTYLCYCLOHEXANONE, FLAVORING AGENT OR ADJUVANT
 SEC-BUTYL ETHYL ETHER," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" SENNA, ALEXANDRIA (CASSIA ACUTIFOLIA DELILE)", FLAVORING AGENT OR ADJUVANT
 L-SERINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 SERPENTARIA (ARISTOLOCHIA SERPENTARIA L.),Not Available
 SESAME (SESAMUM INDICUM L.)," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 SHEANUT OIL, SURFACE-FINISHING AGENT
" SHELLAC, PURIFIED"," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, HUMECTANT, PROCESSING AID, SURFACE-FINISHING AGENT"
 SHELLAC WAX, SURFACE-FINISHING AGENT
 SILICA AEROGEL, SURFACE-ACTIVE AGENT
 SILICON DIOXIDE," ANTICAKING AGENT OR FREE-FLOW AGENT, ANTIOXIDANT, COLOR OR COLORING ADJUNCT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, HUMECTANT, LUBRICANT OR RELEASE AGENT,"
" SILVER FIR, NEEDLES AND TWIGS, OIL (ABIES ALBA MILL.)", FLAVORING AGENT OR ADJUVANT
 SILVER NITRATE,Not Available
 SILVER-SILVER DRAGEES,Not Available
 SIMARUBA BARK (SIMARUBA AMARA AUBL.),Not Available
 SKATOLE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" SLOE BERRIES, EXTRACT (PRUNUS SPINOSA L.)", FLAVORING AGENT OR ADJUVANT
" SLOE BERRIES, EXTRACT SOLID (PRUNUS SPINOSA L.)", FLAVORING AGENT OR ADJUVANT
 SLOE BERRIES (PRUNUS SPINOSA L.), FLAVORING AGENT OR ADJUVANT
" SNAKEROOT, CANADIAN, OIL (ASARUM CANADENSE L.)", FLAVORING AGENT OR ADJUVANT
 SODIUM ACID PYROPHOSPHATE," COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, FLOUR TREATING AGENT, FORMULATION AID, LEAVENING AGENT, OXIDIZING OR REDUCING AGENT, SEQUESTRANT"
 SODIUM N-ALKYLBENZENESULFONATE, WASHING OR SURFACE REMOVAL AGENT
 SODIUM ALUMINATE,Not Available
" SODIUM ALUMINUM PHOSPHATE, ACIDIC OR BASIC"," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, HUMECTANT, LEAVENING AGENT, TEXTURIZER"
 SODIUM ALUMINUM SILICATE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, FORMULATION AID, HUMECTANT"
 SODIUM ASCORBATE," ANTIOXIDANT, COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, FLOUR TREATING AGENT, LEAVENING AGENT, NUTRIENT SUPPLEMENT, OXIDIZING OR REDUCING AGENT, PROCESSING AID, SURFACE-FINISHING AGENT"
 SODIUM BICARBONATE," EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID, SOLVENT OR VEHICLE"
 SODIUM BISULFITE," ANTIMICROBIAL AGENT, ANTIOXIDANT, COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, FLAVORING AGENT OR ADJUVANT, FLOUR TREATING AGENT, FORMULATION AID, PROCESSING AID, SURFACE-FINISHING AGENT, TEXTURIZER"
 SODIUM BOROHYDRIDE, FLAVORING AGENT OR ADJUVANT
" SODIUM CALCIUM ALUMINOSILICATE, HYDRATED",Not Available
 SODIUM CAPRATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 SODIUM CAPRYLATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 SODIUM CARBONATE," ANTIOXIDANT, CURING OR PICKLING AGENT, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT, PROCESSING AID"
 SODIUM CASEINATE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, TEXTURIZER"
 SODIUM CHLORITE," ANTIMICROBIAL AGENT, FUMIGANT"
 SODIUM COPPER CHLOROPHYLLIN, COLOR OR COLORING ADJUNCT
 SODIUM CYCLAMATE--PROHIBITED, NON-NUTRITIVE SWEETENER
 SODIUM DECYLBENZENESULFONATE, SURFACE-FINISHING AGENT
 SODIUM DEHYDROACETATE, COLOR OR COLORING ADJUNCT
 SODIUM DIACETATE, FLAVORING AGENT OR ADJUVANT
 SODIUM DIMETHYLDITHIOCARBAMATE, ANTIMICROBIAL AGENT
 SODIUM DODECYLBENZENESULFONATE, WASHING OR SURFACE REMOVAL AGENT
 SODIUM ERYTHORBATE," ANTIMICROBIAL AGENT, ANTIOXIDANT, COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, FLOUR TREATING AGENT, OXIDIZING OR REDUCING AGENT, PROCESSING AID, SURFACE-FINISHING AGENT"
 SODIUM FERRICITROPYROPHOSPHATE, NUTRIENT SUPPLEMENT
 SODIUM FERRITRIPOLYPHOSPHATE, NUTRIENT SUPPLEMENT
 SODIUM FLUORIDE, STABILIZER OR THICKENER
 SODIUM FORMATE, PROCESSING AID
 SODIUM FUMARATE, NUTRIENT SUPPLEMENT
 SODIUM GLUCOHEPTONATE, BOILER WATER ADDITIVE
 SODIUM GLUCONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT, SEQUESTRANT"
 SODIUM HEXAMETAPHOSPHATE, FLAVORING AGENT OR ADJUVANT
 SODIUM HUMATE, BOILER WATER ADDITIVE
 SODIUM HYDROSULFITE,Not Available
 SODIUM HYDROXIDE," COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FLOUR TREATING AGENT, FUMIGANT, OXIDIZING OR REDUCING AGENT, PH CONTROL AGENT, PROCESSING AID, WASHING OR SURFACE REMOVAL AGENT"
 SODIUM HYPOCHLORITE," DOUGH STRENGTHENER, FLOUR TREATING AGENT, FUMIGANT, OXIDIZING OR REDUCING AGENT"
 SODIUM HYPOPHOSPHITE, ANTIOXIDANT
 SODIUM LACTATE," ANTIMICROBIAL AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT, WASHING OR SURFACE REMOVAL AGENT"
 SODIUM LAURATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 SODIUM LAURYL SULFATE," EMULSIFIER OR EMULSIFIER SALT, SURFACE-ACTIVE AGENT"
 SODIUM 3-MERCAPTOOXOPROPIONATE, FLAVORING AGENT OR ADJUVANT
 SODIUM METABISULFITE," ANTIMICROBIAL AGENT, ANTIOXIDANT, COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, FLOUR TREATING AGENT, FREEZING OR COOLING AGENT, DIRECT CONTACT, OXIDIZING OR REDUCING AGENT"
 SODIUM METASILICATE,Not Available
 SODIUM (4-METHOXYBENZOYLOXY)ACETATE, FLAVORING AGENT OR ADJUVANT
 SODIUM 3-METHOXY-4-HYDROXYCINNAMATE, FLAVORING AGENT OR ADJUVANT
 SODIUM 2-(4-METHOXYPHENOXY)PROPANOATE, FLAVORING AGENT OR ADJUVANT
 SODIUM METHYL SULFATE, FIRMING AGENT
 SODIUM MONO- AND DIMETHYL NAPHTHALENE SULFONATES, ANTICAKING AGENT OR FREE-FLOW AGENT
 SODIUM MYRISTATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 SODIUM NITRATE," ANTIMICROBIAL AGENT, COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROPELLANT"
 SODIUM NITRITE," ANTIMICROBIAL AGENT, ANTIOXIDANT, COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROPELLANT"
 SODIUM OLEATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, STABILIZER OR THICKENER"
 SODIUM PALMITATE," ANTICAKING AGENT OR FREE-FLOW AGENT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, STABILIZER OR THICKENER"
 SODIUM PANTOTHENATE, NUTRIENT SUPPLEMENT
 SODIUM PECTINATE,Not Available
 SODIUM POLYMETHACRYLATE, BOILER WATER ADDITIVE
 SODIUM PYROPHOSPHATE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, HUMECTANT, PH CONTROL AGENT, SEQUESTRANT, STABILIZER OR THICKENER"
 SODIUM SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 SODIUM SESQUICARBONATE, PH CONTROL AGENT
 SODIUM SILICATE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, HUMECTANT, PROCESSING AID"
 SODIUM STEARATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, MASTICATORY SUBSTANCE, PROPELLANT, STABILIZER OR THICKENER"
 SODIUM STEAROYL-2-LACTYLATE," DOUGH STRENGTHENER, EMULSIFIER OR EMULSIFIER SALT, FIRMING AGENT, FLOUR TREATING AGENT, OXIDIZING OR REDUCING AGENT, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
 SODIUM STEARYL FUMARATE," DOUGH STRENGTHENER, LEAVENING AGENT, LUBRICANT OR RELEASE AGENT"
 SODIUM SULFATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT, PROCESSING AID"
 SODIUM SULFIDE,Not Available
 SODIUM SULFITE," ANTIOXIDANT, COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, FLOUR TREATING AGENT, FORMULATION AID, OXIDIZING OR REDUCING AGENT, PH CONTROL AGENT"
 SODIUM TAUROCHOLATE,Not Available
 SODIUM THIOSULFATE," ANTIOXIDANT, FORMULATION AID, OXIDIZING OR REDUCING AGENT, SEQUESTRANT, STABILIZER OR THICKENER"
 SODIUM TRIPOLYPHOSPHATE," ANTICAKING AGENT OR FREE-FLOW AGENT, ANTIOXIDANT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, HUMECTANT, PH CONTROL AGENT, SEQUESTRANT, STABILIZER OR THICKENER, TEXTURIZER"
 SODIUM ZINC METASILICATE,Not Available
 SORBITAN MONOOLEATE, EMULSIFIER OR EMULSIFIER SALT
 SORBITAN MONOSTEARATE," EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, SURFACE-FINISHING AGENT"
 D-SORBITOL," COLOR OR COLORING ADJUNCT, DRYING AGENT, FLAVORING AGENT OR ADJUVANT, HUMECTANT, NUTRIENT SUPPLEMENT, NUTRITIVE SWEETENER, PH CONTROL AGENT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, TEXTURIZER"
 SORBOSE,Not Available
" SOYA BEAN OIL FATTY ACIDS, HYDROXYLATED"," EMULSIFIER OR EMULSIFIER SALT, SOLVENT OR VEHICLE, TEXTURIZER"
" SOYA FATTY ACID AMINE, ETHOXYLATED",Not Available
" SOYBEAN OIL, EPOXIDIZED"," FORMULATION AID, LUBRICANT OR RELEASE AGENT, STABILIZER OR THICKENER"
" SOYBEAN OIL, HYDROGENATED"," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, NUTRIENT SUPPLEMENT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, TEXTURIZER"
" SOY PROTEIN CONCENTRATE, ENZYME ACTIVATED"," NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER, TEXTURIZER"
" SOY PROTEIN, ISOLATE"," EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER, TEXTURIZER"
" SPEARMINT, EXTRACT (MENTHA SPICATA L.)", FLAVORING AGENT OR ADJUVANT
 SPEARMINT (MENTHA SPICATA L.), FLAVORING AGENT OR ADJUVANT
" SPEARMINT, OIL (MENTHA SPICATA L.)", FLAVORING AGENT OR ADJUVANT
 SPERM OIL, SURFACE-FINISHING AGENT
" SPERM OIL, HYDROGENATED",Not Available
 SPIKENARD EXTRACT, FLAVORING AGENT OR ADJUVANT
" SPIRO(2,4-DITHIA-1-METHYL-8-OXABICYCLO(3.3.0)OCTANE-3,3'-(1'-OXA-2'-METHYL)CYCLOPENTANE)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 spirulina extract, COLOR OR COLORING ADJUNCT
" SPRUCE NEEDLES AND TWIGS, EXTRACT (PICEA SPP.)", FLAVORING AGENT OR ADJUVANT
" SPRUCE NEEDLES AND TWIGS, OIL (PICEA SPP.)", FLAVORING AGENT OR ADJUVANT
" (2S,5R)-N-[4-(2-AMINO-2-OXOETHYL)PHENYL]-5-METHYL-2-(PROPAN-2-YL)CYCLOHEXANECARBOXAMIDE", FLAVORING AGENT OR ADJUVANT
 STANNIC CHLORIDE,Not Available
 STANNOUS CHLORIDE, ANTIOXIDANT
" STARCH, ACID MODIFIED",Not Available
" STARCH, ALPHA-AMYLASE MODIFIED",Not Available
" STARCH, BLEACHED",Not Available
" STARCH, FOOD, MODIFIED"," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, HUMECTANT, NUTRIENT SUPPLEMENT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER"
" STARCH, FOOD, MODIFIED:  ACETYLATED DISTARCH ADIPATE", DOUGH STRENGTHENER
" STARCH, FOOD, MODIFIED:  ACETYLATED DISTARCH GLYCEROL", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED: ACETYLATED DISTARCH OXYPROPANOL",Not Available
" STARCH, FOOD, MODIFIED:  ACETYLATED DISTARCH PHOSPHATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED: BETA-AMYLASE MODIFIED STARCH",Not Available
" STARCH, FOOD, MODIFIED: BETA-AMYLASE SODIUM STARCH OCTENYLSUCCINATE",Not Available
" STARCH, FOOD, MODIFIED:  DISTARCH GLYCEROL", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  DISTARCH OXYPROPANOL", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  DISTARCH PHOSPHATE (FROM PHOSPHORUS OXYCHLORIDE)", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  DISTARCH PHOSPHATE (FROM SODIUM TRIMETAPHOSPHATE)", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:GLUCOAMYLASE MODIFIED STARCH",Not Available
" STARCH, FOOD, MODIFIED:  HYDROXYPROPYL DISTARCH GLYCEROL", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  HYDROXYPROPYL DISTARCH PHOSPHATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  HYDROXYPROPYL STARCH", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED: ISOAMYLASE MODIFIED STARCH",Not Available
" STARCH, FOOD, MODIFIED:  OXIDIZED HYDROXYPROPYL STARCH", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  OXIDIZED STARCHES", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  PHOSPHATED DISTARCH PHOSPHATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED: PULLULANASE MODIFIED STARCH"," ENZYME, PROCESSING AID"
" STARCH, FOOD, MODIFIED:  STARCH ACETATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  STARCH ALUMINUM OCTENYL SUCCINATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  STARCH PHOSPHATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  STARCH SODIUM OCTENYL SUCCINATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  STARCH SODIUM SUCCINATE", STABILIZER OR THICKENER
" STARCH, FOOD, MODIFIED:  SUCCINYL DISTARCH GLYCEROL", STABILIZER OR THICKENER
" STARCH, PREGELATINIZED", STABILIZER OR THICKENER
